customer_code,item_code,fy_qty,fy_value
C0007,CR049,819,2530.67
C0008,RU005,1383,37681.58
C0008,CR051,1144,4750.61
C0008,GA011,1088,10895.84
C0008,CU025,273,6228.34
C0008,CU021,1284,31891.80
C0008,70.JP9,1345,24819.50
C0008,SI002,1093,26566.29
C0008,GR031,1423,4076.63
C0008,SU064,1247,14301.06
C0008,SI003,659,6630.72
C0008,SI004,1435,30784.00
C0009,PA036,807,5320.55
C0009,CU024,71,213.67
C0009,CO041,1250,18221.22
C0009,TI038,1426,33952.77
C0009,CR052,362,7641.64
C0009,PL017,692,8163.49
C0009,RU005,632,17543.86
C0009,SA054,89,2739.54
C0009,GA009,195,3390.34
C0009,FO014,1441,5018.42
C0009,PA033,891,1814.82
C0009,SA055,791,12801.43
C0009,CO044,754,20363.49
C0010,SU062,1269,38926.17
C0010,TI038,881,22011.80
C0010,SU061,318,9927.47
C0010,RU005,1462,39997.21
C0010,CR050,877,5737.48
C0010,PL019,1293,22216.90
C0010,CU022,1534,7459.69
C0010,FO016,151,841.62
C0010,70.JP9,822,15246.10
C0010,CR049,563,1765.42
C0010,CO060,1050,7449.06
C0010,SI002,688,15803.32
C0010,CU026,471,7082.73
C0010,GA009,996,17029.58
C0010,GR031,1198,3400.77
C0010,CO057,111,548.06
C0010,CO059,379,3793.78
C0011,RU007,780,3426.13
C0011,9.EC22,248,1152.79
C0011,FO016,360,1879.51
C0011,PA035,194,450.24
C0011,SA056,290,7099.83
C0011,70.JP9,224,4373.77
C0011,RU006,162,3807.09
C0011,PA033,425,814.59
C0011,CU026,544,7503.30
C0011,GA011,1038,10208.09
C0011,FO014,386,1286.49
C0011,SU062,1376,40916.02
C0012,CU025,1344,28688.81
C0012,SI001,847,13472.59
C0012,CO041,786,12316.25
C0012,SI003,366,3355.84
C0012,SA054,1193,37328.68
C0012,SU064,1414,15507.30
C0012,PL018,307,7076.61
C0012,TE048,352,10299.76
C0012,CR051,195,841.92
C0013,GA010,471,12112.36
C0013,TE045,1170,24597.01
C0013,CU022,156,773.57
C0013,SU062,1206,34002.84
C0013,RU007,247,1106.73
C0013,PA036,137,892.57
C0013,CO058,706,11585.17
C0013,FO016,466,2539.02
C0013,CU021,1236,31618.87
C0013,SA053,941,19158.22
C0013,GA011,937,8906.87
C0013,SA055,695,11781.30
C0013,CR049,846,2495.53
C0014,GR031,483,1419.29
C0014,SU064,149,1738.73
C0014,TI039,384,995.50
C0014,FO016,959,5431.99
C0014,PA036,1167,8117.39
C0014,TI037,1347,27875.92
C0014,GA009,254,4300.59
C0014,SI001,1024,16288.31
C0014,TE046,596,3648.71
C0014,GA011,1529,14199.63
C0015,TI040,771,22579.04
C0015,TI038,778,19147.65
C0015,CO044,1255,34617.87
C0015,TE045,968,20955.23
C0015,TI039,393,1017.67
C0015,PL019,670,10836.22
C0015,GR029,1179,8633.76
C0015,RU005,1011,27148.55
C0015,PA033,851,1640.94
C0015,SI001,1225,19578.94
C0015,CU023,1226,29804.44
C0015,GA011,425,4043.96
C0015,GA009,663,12005.53
C0015,TI037,698,15080.73
C0015,SA054,890,27505.89
C0015,CO059,146,1563.52
C0016,CU027,1229,36232.93
C0016,FO013,1249,23079.27
C0016,CO057,1087,5437.51
C0016,RU007,115,501.13
C0016,TI040,1382,37917.08
C0016,SA053,1265,27117.72
C0016,GR030,877,6659.35
C0016,TI039,617,1646.51
C0016,CO042,253,4406.73
C0016,SXLSK,1234,4970.72
C0016,GA011,748,7335.91
C0016,CU021,357,9367.41
C0016,TE046,233,1442.04
C0016,SI004,822,17458.17
C0016,CR050,91,592.82
C0017,TE046,532,3341.02
C0017,FO016,1167,6425.96
C0017,CR052,153,3265.38
C0017,PL019,1280,22664.02
C0017,PA033,301,583.11
C0017,CR051,1186,5223.29
C0017,PL020,1049,1456.04
C0017,CO060,1001,6752.53
C0017,FO013,151,2788.33
C0017,GA011,630,5820.67
C0017,CO043,265,878.27
C0017,SI002,561,12646.71
C0017,CU021,1025,25850.92
C0018,SU062,1157,32648.04
C0018,FO013,424,8114.01
C0018,RU008,1376,22612.30
C0018,GR030,247,1949.45
C0018,CO044,349,9296.14
C0018,CU028,339,6950.64
C0018,PL018,943,23174.98
C0018,SU061,1524,46401.32
C0018,CR052,1321,26312.43
C0018,SA055,1276,21306.79
C0018,GA009,332,5966.54
C0019,70.JP9,492,9456.79
C0019,CU025,1507,34776.58
C0019,GR031,736,2209.19
C0019,PA033,934,1766.50
C0019,CU024,883,2581.38
C0019,TE046,996,6488.13
C0019,CU028,332,6798.42
C0019,CR051,449,1835.18
C0019,GA009,104,1872.29
C0019,9.EC22,76,385.77
C0019,CR049,527,1551.74
C0019,SA055,218,3656.26
C0019,FO016,250,1285.93
C0019,CO042,940,17200.60
C0019,PL018,1286,31464.58
C0019,SI002,1038,23754.29
C0019,RU005,134,3407.13
C0019,CU022,655,3236.20
C0019,RU007,1004,4422.67
C0020,CU026,1186,16615.23
C0020,70.JP9,229,4443.56
C0020,PA035,457,1080.11
C0020,SXLSK,1005,4189.78
C0020,TI038,1362,33586.83
C0020,CO041,1249,19610.55
C0020,FO013,466,8295.45
C0020,SU062,1118,32421.78
C0020,SU064,553,5939.72
C0020,SA054,132,3855.74
C0020,SA053,1327,28806.21
C0021,FO014,1174,3853.02
C0021,PL020,397,521.62
C0021,RU005,1055,27094.65
C0021,CU027,248,7065.62
C0021,CO042,254,4361.77
C0021,GA012,1278,38012.57
C0021,CO041,760,11874.76
C0021,CO044,1338,33603.64
C0021,FO013,319,5751.16
C0021,TI039,1504,4065.57
C0021,PL018,320,7676.33
C0022,PL019,933,15334.69
C0022,CO044,1163,31448.78
C0022,RU008,1022,17135.11
C0022,RU006,1045,25726.06
C0022,CU026,1316,19176.17
C0022,CO042,1068,18560.20
C0022,CU028,110,2263.99
C0022,GA011,351,3410.35
C0022,CU021,1401,35608.22
C0022,CO060,61,423.44
C0022,SA056,151,3365.14
C0022,PL020,723,958.62
C0022,SU062,515,14595.47
C0023,TE048,1303,38681.56
C0023,CO059,1175,11821.48
C0023,PA034,669,15894.23
C0023,CO041,1124,16570.38
C0023,70.JP9,786,15396.56
C0023,GR030,1467,11629.14
C0023,GR032,1074,25181.80
C0023,FO014,592,2051.93
C0023,CU021,1215,30533.62
C0023,TI040,881,24851.33
C0023,SI001,146,2511.03
C0023,PA035,217,481.93
C0023,SA056,1524,36998.59
C0023,PA033,363,715.88
C0024,SA056,1272,28647.08
C0024,FO014,501,1746.62
C0024,SU064,1214,13364.22
C0024,SI002,383,9068.06
C0024,SXLSK,1076,4661.28
C0024,CR049,731,2134.59
C0024,GA012,1485,42254.45
C0024,GA009,646,11470.51
C0024,CU025,1290,27325.20
C0024,70.JP9,514,9890.71
C0024,CO044,1342,36497.79
C0024,CR052,1033,22213.40
C0024,PL019,472,7915.77
C0024,CO057,361,1884.72
C0025,SA053,1200,24043.11
C0025,TI039,784,2037.29
C0025,CR052,203,4176.82
C0025,SU064,551,6022.91
C0025,CU022,1031,4983.62
C0025,TI040,421,12086.40
C0025,RU008,545,8535.98
C0025,TE045,929,18909.97
C0025,FO015,1479,11908.12
C0025,FO014,918,3154.83
C0026,70.JP9,58,1141.86
C0026,CU023,495,12140.78
C0026,SU063,571,14606.40
C0026,GR030,1438,11271.49
C0026,SI003,814,8046.85
C0026,TI037,828,17934.31
C0026,SI001,974,15869.70
C0026,PL018,1105,26711.63
C0026,TE047,198,1204.42
C0026,CR050,488,3165.81
C0026,CR052,786,16243.29
C0026,SA053,646,13027.38
C0026,RU008,362,6122.58
C0026,SI002,503,11540.51
C0026,TI040,1102,29443.57
C0026,CU021,1250,31363.12
C0026,FO016,569,3054.10
C0026,CR049,1372,4231.36
C0026,RU005,707,19343.07
C0027,PA035,256,600.05
C0027,FO016,519,2846.52
C0027,PA033,1001,1975.26
C0027,SA053,1288,27775.48
C0027,FO015,179,1441.83
C0027,CO058,1000,17244.93
C0027,TE046,208,1277.38
C0027,RU006,126,3123.55
C0027,PL017,771,9150.32
C0027,SI003,621,5718.96
C0027,CO060,454,3027.83
C0027,TI038,913,21523.38
C0028,CO060,546,3904.75
C0028,CU024,144,429.34
C0028,CO042,308,5702.83
C0028,PL019,1292,22322.75
C0028,CU027,454,13085.87
C0028,CO043,869,2974.24
C0028,CO058,1134,20243.15
C0028,GA011,1092,10456.21
C0028,RU008,1417,23058.29
C0028,SU061,1051,30898.16
C0028,GA010,730,18496.53
C0028,PL020,1356,1806.58
C0028,GR030,106,836.72
C0028,SA053,997,20246.28
C0029,TE045,384,8242.22
C0029,PL018,55,1353.24
C0029,SA056,382,8513.45
C0029,TE046,896,5764.75
C0029,CR050,832,5279.70
C0029,RU008,1494,23107.71
C0029,FO015,712,5731.22
C0029,TE048,1277,38816.22
C0029,PA033,650,1301.68
C0029,GA009,749,13082.09
C0029,SI003,399,3976.51
C0029,FO014,505,1661.60
C0029,SI001,1482,24660.03
C0029,CU026,462,6596.26
C0030,CU027,1338,41249.77
C0030,CU021,1168,29650.45
C0030,RU006,1338,32890.21
C0030,TI037,1025,21959.29
C0030,RU007,1431,6603.68
C0030,FO014,917,3013.44
C0030,FO013,359,6501.91
C0030,CU023,280,6924.70
C0030,SI001,573,9179.46
C0030,GA009,1461,25109.43
C0030,CO059,1213,12331.50
C0030,FO015,773,6054.99
C0031,TI039,224,565.54
C0031,FO013,1139,21070.62
C0031,CU026,1443,20222.71
C0031,CU021,1514,37573.25
C0031,PA036,1282,8581.95
C0031,CR051,1439,6300.34
C0031,GA009,917,15468.03
C0031,PA033,477,965.42
C0031,RU008,1105,17693.63
C0031,FO014,294,965.68
C0031,GA010,701,19131.27
C0031,GR031,888,2553.67
C0031,CO041,109,1585.08
C0031,SI001,66,1079.11
C0031,TI037,186,4061.66
C0031,FO015,1432,12021.92
C0031,SU063,319,8163.95
C0032,CU021,1540,40994.78
C0032,GR031,236,718.22
C0032,TE047,1081,6273.29
C0032,CR049,1435,4328.32
C0032,SXLSK,1437,5926.42
C0032,CO060,1215,8757.50
C0032,PA036,710,4678.73
C0032,FO013,723,13596.40
C0032,70.JP9,1188,22892.19
C0032,SI001,424,6901.07
C0033,TE046,955,6204.95
C0033,PA035,716,1589.46
C0033,FO016,797,4279.96
C0033,RU006,205,4909.56
C0033,CO057,407,2089.08
C0033,FO015,1361,10599.48
C0033,SI003,1179,11459.16
C0033,CU024,103,314.32
C0033,TE047,157,881.26
C0033,CO044,910,22941.11
C0033,CR051,839,3466.27
C0033,FO013,204,3943.14
C0034,GA012,1026,29699.44
C0034,CO043,296,948.54
C0034,SU061,442,13762.62
C0034,RU005,113,3060.72
C0034,TE045,586,12686.93
C0034,SA055,325,5535.98
C0034,SI003,249,2489.97
C0034,GR029,1312,10419.10
C0034,CO042,1250,22012.46
C0034,SXLSK,725,2971.30
C0034,CO060,1120,7785.22
C0034,RU008,467,7883.61
C0034,9.EC22,728,3371.07
C0034,CU021,1201,29373.80
C0034,RU007,1335,5820.94
C0034,PA034,1254,31248.32
C0035,SA055,775,12984.80
C0035,PL020,797,1110.26
C0035,CU025,628,14077.70
C0035,CO060,1226,8823.01
C0035,GR030,1515,11500.69
C0035,PA033,839,1597.69
C0035,RU006,270,6196.15
C0035,CU024,480,1459.04
C0035,GR029,1127,8242.22
C0036,SU063,1421,36563.27
C0036,CU024,792,2353.08
C0036,SI001,544,8624.79
C0036,CU028,1378,27455.97
C0036,RU007,605,2800.59
C0036,PA034,635,15097.91
C0036,FO014,949,3280.52
C0036,CU021,1244,31674.82
C0036,PA035,957,2149.82
C0036,GR031,644,1966.75
C0036,SI002,826,19732.47
