customer_code,item_code,peer_penetration_pct,estimated_annual_value
C0018,PA033,70.10,4604.52
C0019,FO014,48.53,1541.86
C0019,FO015,54.16,568.35
C0019,PA034,56.69,4877.04
C0020,SI002,91.30,2827.49
C0020,SI003,82.31,2674.02
C0020,RU005,88.68,5563.21
C0020,RU006,79.61,6245.49
C0020,RU008,70.68,4590.40
C0020,PL020,87.72,5172.31
C0021,SI001,73.84,1708.56
C0021,SI004,44.54,2909.27
C0021,CU023,40.69,2139.66
C0021,CU025,63.29,5717.61
C0021,GR032,92.22,4979.57
C0021,PA034,78.95,778.81
C0022,SI003,61.71,4707.71
C0022,SI004,52.79,709.24
C0022,GA009,60.55,6133.23
C0022,GA012,60.69,3976.62
C0022,FO014,50.24,6092.09
C0022,FO016,50.85,3097.99
C0023,9.EC22,53.68,4742.49
C0023,SXLSK,80.25,1776.46
C0023,SI003,60.72,2743.63
C0023,RU008,48.08,5408.76
C0023,FO013,58.76,4680.40
C0023,FO016,54.11,2734.31
C0024,SI004,72.32,1971.03
C0024,FO016,74.00,518.60
C0024,PL018,87.70,1887.04
C0024,PL020,71.55,6001.97
C0024,CU026,94.64,3723.05
C0024,PA035,48.98,4677.67
C0025,GA011,86.45,1782.93
C0025,CU023,48.85,2878.27
C0025,CU026,80.92,1795.67
C0025,PA034,54.04,3156.73
C0026,9.EC22,67.28,6186.01
C0026,SI004,61.36,2013.40
C0026,RU007,93.58,2020.84
C0026,GA011,49.04,5858.49
C0026,GA012,85.32,6055.62
C0026,PL017,60.74,6268.93
C0027,RU005,48.26,1568.95
C0027,GA009,71.12,1083.62
C0027,PL019,49.91,1174.79
C0027,CU023,41.20,3809.43
C0027,GR030,51.37,4578.02
C0027,GR031,84.99,2661.68
C0028,SI004,86.80,545.61
C0028,RU006,47.05,1781.80
C0028,FO014,75.16,4663.92
C0028,CU022,47.65,3161.63
C0028,GR029,63.55,1285.85
C0029,RU005,59.06,5911.79
C0029,GR030,82.95,4119.10
C0029,GR032,66.49,2586.72
C0030,9.EC22,47.06,3350.90
C0030,FO016,69.07,5308.99
C0030,PL020,42.36,2115.31
C0030,PA034,69.30,5365.19
C0031,SI003,92.61,5390.14
C0031,SI004,93.79,5690.16
C0031,GA012,79.26,5461.64
C0031,CU028,68.43,2702.97
C0032,SI004,72.74,1506.83
C0032,GA011,60.33,5638.94
C0032,CU024,67.64,1113.17
C0032,CU027,76.45,5881.80
C0032,CU028,59.40,4950.95
C0032,GR029,93.63,6054.04
C0033,GA011,59.30,2931.04
C0033,GA012,52.04,1444.04
C0033,PL019,87.73,2573.90
C0033,CU023,67.68,3355.59
C0034,PL017,91.46,1298.46
C0034,PA036,83.35,4444.17
C0035,SI004,42.65,4361.02
C0035,RU008,68.87,1596.55
C0035,PA034,49.59,692.55
C0036,SI004,81.54,2948.92
C0036,GA009,86.52,4694.91
C0036,GA010,44.87,2650.35
C0036,FO013,56.08,6195.10
C0036,CU027,83.91,1893.86
C0036,GR030,81.24,3654.65
