item_code,description,category,subcategory,brand,is_core_80,is_branded,uom_purchase_hint,uom_selling_hint,fy_sales_qty,fy_sales_value,fy_purchase_qty,fy_purchase_value,implied_unit_cost,implied_unit_price,implied_margin_pct,cost_data_quality
PL018,"Plate 2",Disposables,Plate,,1,0,PKT,PKT,4016,97457.37,3093,47771.98,15.44,24.27,36.36,OK
PL019,"Plate 3 x24",Disposables,Plate,,1,0,CTN,PKT,6754,115143.46,586,358834.84,612.35,17.05,-3491.85,UOM_SUSPECT
PL020,"Plate 4",Disposables,Plate,,1,0,PKT,PKT,5266,7158.39,11470,10549.84,0.92,1.36,32.34,OK
CU021,"Cup 1 x50",Disposables,Cup,,1,0,BALE,PKT,15721,398977.78,3460,828039.74,239.32,25.38,-842.99,UOM_SUSPECT
CU022,"Cup 2",Disposables,Cup,,1,0,PKT,PKT,3376,16453.08,27525,104444.65,3.79,4.87,22.14,OK
CU023,"Cup 3 x24",Disposables,Cup,,1,0,CTN,PKT,2773,67897.52,206,321128.05,1558.87,24.49,-6266.59,UOM_SUSPECT
CU024,"Cup 4",Disposables,Cup,,1,0,PKT,PKT,2473,7350.83,,,,2.97,,NO_PURCHASE_DATA
CU025,"Cutlery 1",Disposables,Cutlery,,1,0,PKT,PKT,5843,128557.67,14346,200134.66,13.95,22.00,36.59,OK
CU026,"Cutlery 2",Disposables,Cutlery,,1,0,PKT,PKT,6604,94862.48,,,,14.36,,NO_PURCHASE_DATA
CU027,"Cutlery 3",Disposables,Cutlery,,1,0,PKT,PKT,3859,114341.09,,,,29.63,,NO_PURCHASE_DATA
CU028,"Cutlery 4",Disposables,Cutlery,,1,0,PKT,PKT,4421,87352.47,26181,388021.95,14.82,19.76,24.99,OK
GR029,"Greaseproof paper 1",Paper,Greaseproof paper,,1,0,PKT,PKT,3618,27295.08,10891,74098.92,6.80,7.54,9.81,OK
GR030,"Greaseproof paper 2 x50",Paper,Greaseproof paper,,1,0,BALE,PKT,6621,51718.40,1141,188035.46,164.80,7.81,-2009.76,UOM_SUSPECT
GR031,"Greaseproof paper 3",Paper,Greaseproof paper,,1,0,PKT,PKT,5608,16344.52,12948,30006.56,2.32,2.91,20.48,OK
GR032,"Greaseproof paper 4",Paper,Greaseproof paper,,1,0,PKT,PKT,2076,48013.86,,,,23.13,,NO_PURCHASE_DATA
PA033,"Paper bag 1",Paper,Paper bag,,1,0,PKT,PKT,7371,14459.24,8241,11849.36,1.44,1.96,26.71,OK
PA034,"Paper bag 2",Paper,Paper bag,,1,0,PKT,PKT,4370,106067.07,10616,168763.85,15.90,24.27,34.50,OK
PA035,"Paper bag 3 x50",Paper,Paper bag,,1,0,BALE,PKT,5964,13884.28,1307,22715.85,17.38,2.33,-646.57,UOM_SUSPECT
PA036,"Paper bag 4 x24",Paper,Paper bag,,1,0,CTN,PKT,4652,31466.79,1253,156649.20,125.02,6.76,-1748.27,UOM_SUSPECT
TI037,"Tissue 1 x24",Paper,Tissue,,1,0,CTN,PKT,4084,86911.91,381,288065.94,756.08,21.28,-3452.82,UOM_SUSPECT
TI038,"Tissue 2",Paper,Tissue,,1,0,PKT,PKT,5360,130222.43,,,,24.30,,NO_PURCHASE_DATA
TI039,"Tissue 3",Paper,Tissue,,1,0,PKT,PKT,5070,13380.31,19074,38450.65,2.02,2.64,23.61,OK
TI040,"Tissue 4 x50",Paper,Tissue,,1,0,BALE,PKT,4933,137002.28,249,427554.33,1717.09,27.77,-6082.66,UOM_SUSPECT
CO041,"Good World Coffee 1 x50",Beverages,Coffee,Good World,0,1,BALE,PKT,7935,121029.84,69,42241.56,612.20,15.25,-3913.70,UOM_SUSPECT
CO042,"Nestle Coffee 2",Beverages,Coffee,Nestle,1,1,PKT,PKT,4073,72244.59,32468,379129.41,11.68,17.74,34.17,OK
CO043,"Seamaster Coffee 3",Beverages,Coffee,Seamaster,1,1,PKT,PKT,1602,5372.34,31350,65849.13,2.10,3.35,37.36,OK
CO044,"LYG Coffee 4 x24",Beverages,Coffee,LYG,1,1,CTN,PKT,7111,188768.82,326,166073.64,509.43,26.55,-1819.04,UOM_SUSPECT
TE045,"Good World Tea 1",Beverages,Tea,Good World,0,1,PKT,PKT,5156,109438.14,31540,405838.79,12.87,21.23,39.38,OK
TE046,"Seamaster Tea 2 x24",Beverages,Tea,Seamaster,0,1,CTN,PKT,4416,28166.98,456,90979.57,199.52,6.38,-3028.01,UOM_SUSPECT
TE047,"LYG Tea 3 x24",Beverages,Tea,LYG,0,1,CTN,PKT,1436,8358.97,309,157104.59,508.43,5.82,-8634.38,UOM_SUSPECT
TE048,"Seamaster Tea 4",Beverages,Tea,Seamaster,0,1,PKT,PKT,5037,152474.24,6418,133908.34,20.86,30.27,31.07,OK
CR049,"Nestle Creamer 1",Beverages,Creamer,Nestle,0,1,PKT,PKT,6293,19037.63,40652,84752.73,2.08,3.03,31.08,OK
CR050,"Good World Creamer 2",Beverages,Creamer,Good World,1,1,PKT,PKT,3822,24037.69,27285,124271.05,4.55,6.29,27.58,OK
CR051,"LYG Creamer 3 x50",Beverages,Creamer,LYG,0,1,BALE,PKT,6014,25772.24,405,52236.29,128.98,4.29,-2909.74,UOM_SUSPECT
CR052,"Rosmuni Creamer 4",Beverages,Creamer,Rosmuni,0,1,PKT,PKT,5024,104063.83,28847,522398.19,18.11,20.71,12.57,OK
SA053,"Sauce 1",F&B consumables,Sauce,,0,0,PKT,PKT,9699,202916.58,13237,233639.96,17.65,20.92,15.63,OK
SA054,"Sauce 2",F&B consumables,Sauce,,1,0,PKT,PKT,4818,146921.82,25685,609776.90,23.74,30.49,22.15,OK
SA055,"Rosmuni Sauce 3 x24",F&B consumables,Sauce,Rosmuni,0,1,CTN,PKT,4080,68066.56,569,317420.02,557.86,16.68,-3243.86,UOM_SUSPECT
SA056,"Sauce 4 x50",F&B consumables,Sauce,,0,0,BALE,PKT,4800,113566.92,268,402946.25,1503.53,23.66,-6254.80,UOM_SUSPECT
CO057,"Cordial 1",F&B consumables,Cordial,,1,0,PKT,PKT,4224,20906.73,,,,4.95,,NO_PURCHASE_DATA
CO058,"LYG Cordial 2",F&B consumables,Cordial,LYG,1,1,PKT,PKT,4903,85267.22,,,,17.39,,NO_PURCHASE_DATA
CO059,"Good World Cordial 3",F&B consumables,Cordial,Good World,0,1,PKT,PKT,5195,53172.41,18227,126712.33,6.95,10.24,32.08,OK
CO060,"Cordial 4",F&B consumables,Cordial,,0,0,PKT,PKT,8627,60838.43,36467,170957.70,4.69,7.05,33.52,OK
SU061,"Sugar 1",F&B consumables,Sugar,,1,0,PKT,PKT,5673,171455.38,11775,303798.51,25.80,30.22,14.63,OK
SU062,"Sugar 2",F&B consumables,Sugar,,0,0,PKT,PKT,7606,223134.47,26588,502195.62,18.89,29.34,35.62,OK
SU063,"Sugar 3",F&B consumables,Sugar,,0,0,PKT,PKT,2883,74570.45,2510,54113.70,21.56,25.87,16.64,OK
SU064,"Sugar 4 x24",F&B consumables,Sugar,,1,0,CTN,PKT,5329,59041.90,824,325766.85,395.35,11.08,-3468.33,UOM_SUSPECT
